,Datetime,AvgPrice
625,06-06-2013,5692.5
626,07-06-2013,5629.5
627,10-06-2013,5559
628,11-06-2013,5488
629,12-06-2013,5449.5
630,13-06-2013,5490
631,14-06-2013,5563.5
632,17-06-2013,5523
633,18-06-2013,5553.5
634,19-06-2013,5461
635,20-06-2013,5535
636,21-06-2013,5466.5
637,22-06-2013,4964
638,24-06-2013,5423
639,25-06-2013,5453
640,26-06-2013,5436
641,27-06-2013,5377.5
642,28-06-2013,5321
643,01-07-2013,5124
644,02-07-2013,5136
645,03-07-2013,5101.5
646,04-07-2013,4985.5
647,05-07-2013,4996
648,07-07-2013,5176
649,08-07-2013,5109
650,09-07-2013,5148
651,10-07-2013,5175
652,11-07-2013,5249
653,12-07-2013,5274.5
654,15-07-2013,5288
655,16-07-2013,5300
656,17-07-2013,5389
657,18-07-2013,5338
658,19-07-2013,5164.5
659,20-07-2013,2800
660,22-07-2013,5124
661,23-07-2013,5156
662,24-07-2013,5150.5
663,25-07-2013,5239
664,26-07-2013,5182
665,29-07-2013,5062
666,30-07-2013,5206
667,31-07-2013,5136
668,01-08-2013,5083
669,02-08-2013,5134
670,05-08-2013,5226
671,06-08-2013,5103
672,07-08-2013,5187
673,08-08-2013,5081
674,12-08-2013,5312
675,13-08-2013,5204.5
676,14-08-2013,5111.5
677,16-08-2013,5156.5
678,19-08-2013,5180
679,20-08-2013,5164
680,21-08-2013,5148
681,22-08-2013,5024.5
682,23-08-2013,5143
683,24-08-2013,4525
684,26-08-2013,5063
685,27-08-2013,5073.5
686,28-08-2013,4025
687,29-08-2013,5109.5
688,30-08-2013,5055.5
689,01-09-2013,5124
690,02-09-2013,5045
691,03-09-2013,4996.5
692,04-09-2013,4976
693,05-09-2013,5160
694,06-09-2013,4999
695,09-09-2013,4716
696,10-09-2013,5083
697,11-09-2013,5019
698,12-09-2013,5010.5
699,13-09-2013,5029
700,16-09-2013,5058.5
701,17-09-2013,5024.5
702,18-09-2013,5142
703,19-09-2013,4963
704,20-09-2013,5014.5
705,21-09-2013,5200
706,23-09-2013,5070
707,24-09-2013,4875
708,25-09-2013,4827.5
709,26-09-2013,4636
710,27-09-2013,4699
711,30-09-2013,4650
712,01-10-2013,4575
713,02-10-2013,3795
714,03-10-2013,4356
715,04-10-2013,4536
716,07-10-2013,4715.5
717,08-10-2013,4880
718,09-10-2013,4875
719,10-10-2013,4730.5
720,11-10-2013,4849
721,12-10-2013,3500
722,15-10-2013,4727
723,16-10-2013,3550
724,17-10-2013,4914.5
725,18-10-2013,4755
726,21-10-2013,4500
727,22-10-2013,4811
728,23-10-2013,4769.5
729,24-10-2013,4744
730,25-10-2013,4724.5
731,27-10-2013,2200
732,28-10-2013,4746.5
733,29-10-2013,4700
734,30-10-2013,4545
735,31-10-2013,4574
736,01-11-2013,4638
737,04-11-2013,4506
738,05-11-2013,4579
739,06-11-2013,4625
740,07-11-2013,4756
741,08-11-2013,4677
742,11-11-2013,4769.5
743,12-11-2013,4825
744,13-11-2013,4787
745,14-11-2013,4699
746,18-11-2013,4736
747,19-11-2013,4938
748,20-11-2013,4953
749,21-11-2013,4824.5
750,22-11-2013,5057.5
751,25-11-2013,5019.5
752,26-11-2013,4765
753,27-11-2013,4820.5
754,28-11-2013,4745
755,29-11-2013,4625
756,30-11-2013,3700
757,01-12-2013,4016
758,02-12-2013,4706
759,03-12-2013,4518
760,04-12-2013,4616.5
761,05-12-2013,4517.5
762,06-12-2013,4680
763,08-12-2013,3825
764,09-12-2013,4516
765,10-12-2013,4506
766,11-12-2013,4507
767,12-12-2013,4524
768,13-12-2013,4305
769,15-12-2013,3935
770,16-12-2013,4660
771,17-12-2013,4494
772,18-12-2013,4586
773,19-12-2013,4790
774,20-12-2013,4567.5
775,23-12-2013,4605
776,24-12-2013,4573
777,25-12-2013,3336
778,26-12-2013,4489
779,27-12-2013,4586
780,29-12-2013,3133
781,30-12-2013,4600
782,31-12-2013,4511
783,01-01-2014,3301
784,02-01-2014,4649
785,03-01-2014,4408
786,06-01-2014,4459
787,07-01-2014,4449
788,08-01-2014,4340
789,09-01-2014,4465
790,10-01-2014,4140
791,13-01-2014,4185
792,17-01-2014,3850
793,20-01-2014,4392
794,21-01-2014,4372
795,22-01-2014,4289.5
796,23-01-2014,4300
797,24-01-2014,4100
798,25-01-2014,3300
799,27-01-2014,4331
800,28-01-2014,4352.5
801,29-01-2014,4250
802,30-01-2014,4335
803,31-01-2014,4323
804,01-02-2014,4375
805,03-02-2014,4284
806,04-02-2014,4276
807,05-02-2014,4203
808,06-02-2014,4447.5
809,07-02-2014,4192
810,10-02-2014,4449
811,11-02-2014,4492
812,12-02-2014,4129
813,13-02-2014,4261
814,14-02-2014,4510
815,17-02-2014,4424
816,18-02-2014,4452.5
817,19-02-2014,4333
818,20-02-2014,4214.5
819,21-02-2014,4580
820,24-02-2014,4437.5
821,25-02-2014,4374
822,26-02-2014,4461
823,27-02-2014,4451
824,28-02-2014,4455
825,03-03-2014,4361
826,04-03-2014,4350
827,05-03-2014,4162
828,06-03-2014,4368
829,07-03-2014,4418
830,09-03-2014,3161
831,10-03-2014,4312.5
832,11-03-2014,4422.5
833,12-03-2014,4321
834,13-03-2014,4299
835,14-03-2014,4265
836,15-03-2014,3450
837,17-03-2014,4263
838,18-03-2014,4294.5
839,19-03-2014,4203
840,20-03-2014,4388.5
841,21-03-2014,4511
842,22-03-2014,3844
843,23-03-2014,3669
844,24-03-2014,4537
845,25-03-2014,4644.5
846,26-03-2014,4743
847,27-03-2014,4723.5
848,28-03-2014,4556.5
849,01-04-2014,4630
850,02-04-2014,4717.5
851,03-04-2014,4694
852,04-04-2014,4749
853,06-04-2014,4015
854,07-04-2014,4642
855,08-04-2014,4599
856,09-04-2014,4520
857,10-04-2014,4552
858,11-04-2014,4541
859,15-04-2014,4437
860,16-04-2014,4624
861,17-04-2014,4605
862,19-04-2014,3341
863,20-04-2014,3850
864,21-04-2014,4655
865,22-04-2014,4667
866,23-04-2014,4492.5
867,25-04-2014,4788
868,27-04-2014,3746
869,28-04-2014,4785
870,29-04-2014,4717.5
871,30-04-2014,4770.5
872,02-05-2014,4830.5
873,03-05-2014,3513.5
874,05-05-2014,4930
875,06-05-2014,4736
876,07-05-2014,4550
877,08-05-2014,4536
878,09-05-2014,4688.5
879,11-05-2014,3773
880,12-05-2014,4742
881,13-05-2014,4766
882,14-05-2014,4765
883,15-05-2014,4862.5
884,16-05-2014,4699.5
885,19-05-2014,4966
886,20-05-2014,5050
887,21-05-2014,5115
888,22-05-2014,5090
889,23-05-2014,5180
890,24-05-2014,3944
891,26-05-2014,5184.5
892,27-05-2014,5205
893,28-05-2014,5149.5
894,29-05-2014,5057.5
895,30-05-2014,5189
896,01-06-2014,4091
897,02-06-2014,5170
898,03-06-2014,5169
899,04-06-2014,5064.5
900,05-06-2014,5273
901,06-06-2014,5218.5
902,09-06-2014,5176
903,10-06-2014,5264
904,11-06-2014,5145
905,12-06-2014,5240
906,13-06-2014,5237
907,14-06-2014,3639
908,16-06-2014,5077.5
909,17-06-2014,5063
910,18-06-2014,5014
911,19-06-2014,5058
912,20-06-2014,4986
913,23-06-2014,4900
914,24-06-2014,4855
915,25-06-2014,4985.5
916,26-06-2014,4975
917,27-06-2014,4930
918,28-06-2014,3300
919,30-06-2014,5025.5
920,01-07-2014,4900
921,02-07-2014,4961
922,03-07-2014,4861
923,04-07-2014,5014
924,05-07-2014,10083
925,07-07-2014,5066
926,08-07-2014,5067
927,09-07-2014,5043
928,10-07-2014,5127.5
929,11-07-2014,5062.5
930,14-07-2014,5057.5
931,15-07-2014,4949
932,16-07-2014,4974
933,17-07-2014,5051
934,18-07-2014,5010.5
935,21-07-2014,4986.5
936,22-07-2014,5006.5
937,23-07-2014,4900
938,24-07-2014,4953
939,25-07-2014,5017.5
940,28-07-2014,5059.5
941,30-07-2014,4966.5
942,31-07-2014,5054
943,01-08-2014,5100
944,04-08-2014,5135.5
945,05-08-2014,5211
946,06-08-2014,5240.5
947,07-08-2014,5331.5
948,08-08-2014,5395
949,09-08-2014,2848
950,11-08-2014,5498
951,12-08-2014,5490.5
952,13-08-2014,5500
953,14-08-2014,5844.5
954,15-08-2014,5299
955,16-08-2014,4921
956,18-08-2014,6004
957,19-08-2014,6455
958,20-08-2014,6024
959,21-08-2014,6415
960,22-08-2014,6487.5
961,23-08-2014,5786
962,25-08-2014,6168.5
963,26-08-2014,5832
964,27-08-2014,5756.5
965,28-08-2014,6125
966,30-08-2014,4691.5
967,01-09-2014,6065
968,02-09-2014,5983
969,03-09-2014,5910.5
970,04-09-2014,5995.5
971,05-09-2014,6174
972,07-09-2014,4200
973,08-09-2014,5894.5
974,09-09-2014,6197
975,10-09-2014,6108
976,11-09-2014,6274
977,12-09-2014,6205
978,13-09-2014,4300
979,15-09-2014,6250
980,16-09-2014,6061
981,17-09-2014,6269
982,18-09-2014,6104.5
983,19-09-2014,5930
984,22-09-2014,6175
985,23-09-2014,5949
986,24-09-2014,5980
987,25-09-2014,5914
988,26-09-2014,5784.5
989,27-09-2014,4302
990,29-09-2014,5809.5
991,30-09-2014,5619.5
992,01-10-2014,5674
993,04-10-2014,4419
994,07-10-2014,5422
995,08-10-2014,5493
996,09-10-2014,5451
997,10-10-2014,5500
998,11-10-2014,4329
999,13-10-2014,5644
1000,14-10-2014,5644
1001,15-10-2014,5574
1002,16-10-2014,5518
1003,17-10-2014,5526
1004,18-10-2014,4349.5
1005,20-10-2014,5107.5
1006,21-10-2014,5354
1007,23-10-2014,3907.5
1008,24-10-2014,4995.5
1009,25-10-2014,4189
1010,27-10-2014,5381
1011,28-10-2014,5383
1012,29-10-2014,5018
1013,30-10-2014,4997
1014,31-10-2014,4991
1015,01-11-2014,4269
1016,03-11-2014,4884
1017,04-11-2014,3800
1018,05-11-2014,4815
1019,06-11-2014,4820
1020,07-11-2014,4994
1021,10-11-2014,4878
1022,11-11-2014,4679
